tips,Tip_Name,Order,Family,Genus,level0,level1,level2,level3,level4,level5,level6,level7
Conopophaga_castaneiceps_H2114,PASSERIFORMES_Conopophagidae_Conopophaga_castaneiceps,PASSERIFORMES,Conopophagidae,Conopophaga,Neoaves,Telluraves,Australaves,Eufalconimorphae,Psittacopasseres,x,x,x
Conopophaga_cearae_LGE10413,PASSERIFORMES_Conopophagidae_Conopophaga_cearae,PASSERIFORMES,Conopophagidae,Conopophaga,Neoaves,Telluraves,Australaves,Eufalconimorphae,Psittacopasseres,x,x,x
Conopophaga_lineata_MPEGSB76,PASSERIFORMES_Conopophagidae_Conopophaga_lineata,PASSERIFORMES,Conopophagidae,Conopophaga,Neoaves,Telluraves,Australaves,Eufalconimorphae,Psittacopasseres,x,x,x
Conopophaga_melanogaster_L78064,PASSERIFORMES_Conopophagidae_Conopophaga_melanogaster,PASSERIFORMES,Conopophagidae,Conopophaga,Neoaves,Telluraves,Australaves,Eufalconimorphae,Psittacopasseres,x,x,x
Conopophaga_melanops_LGE1753,PASSERIFORMES_Conopophagidae_Conopophaga_melanops,PASSERIFORMES,Conopophagidae,Conopophaga,Neoaves,Telluraves,Australaves,Eufalconimorphae,Psittacopasseres,x,x,x
Conopophaga_peruviana_L40502,PASSERIFORMES_Conopophagidae_Conopophaga_peruviana,PASSERIFORMES,Conopophagidae,Conopophaga,Neoaves,Telluraves,Australaves,Eufalconimorphae,Psittacopasseres,x,x,x
Conopophaga_roberti_MPEGCAX13,PASSERIFORMES_Conopophagidae_Conopophaga_roberti,PASSERIFORMES,Conopophagidae,Conopophaga,Neoaves,Telluraves,Australaves,Eufalconimorphae,Psittacopasseres,x,x,x
Conopophila_rufogularis_ANWCB57413,PASSERIFORMES_Meliphagidae_Conopophila_rufogularis,PASSERIFORMES,Meliphagidae,Conopophila,Neoaves,Telluraves,Australaves,Eufalconimorphae,Psittacopasseres,x,x,x
Contopus_albogularis_YPM139867,PASSERIFORMES_Tyrannidae_Contopus_albogularis,PASSERIFORMES,Tyrannidae,Contopus,Neoaves,Telluraves,Australaves,Eufalconimorphae,Psittacopasseres,x,x,x
Contopus_cinereus_K3847,PASSERIFORMES_Tyrannidae_Contopus_cinereus,PASSERIFORMES,Tyrannidae,Contopus,Neoaves,Telluraves,Australaves,Eufalconimorphae,Psittacopasseres,x,x,x
Contopus_cooperi_A17527,PASSERIFORMES_Tyrannidae_Contopus_cooperi,PASSERIFORMES,Tyrannidae,Contopus,Neoaves,Telluraves,Australaves,Eufalconimorphae,Psittacopasseres,x,x,x
Contopus_fumigatus_L22881,PASSERIFORMES_Tyrannidae_Contopus_fumigatus,PASSERIFORMES,Tyrannidae,Contopus,Neoaves,Telluraves,Australaves,Eufalconimorphae,Psittacopasseres,x,x,x
Contopus_hispaniolensis_K6337,PASSERIFORMES_Tyrannidae_Contopus_hispaniolensis,PASSERIFORMES,Tyrannidae,Contopus,Neoaves,Telluraves,Australaves,Eufalconimorphae,Psittacopasseres,x,x,x
Contopus_hispaniolensis_USNM327749,PASSERIFORMES_Tyrannidae_Contopus_hispaniolensis_USNM327749,PASSERIFORMES,Tyrannidae,Contopus,Neoaves,Telluraves,Australaves,Eufalconimorphae,Psittacopasseres,x,x,x
Contopus_latirostris_L11330,PASSERIFORMES_Tyrannidae_Contopus_latirostris,PASSERIFORMES,Tyrannidae,Contopus,Neoaves,Telluraves,Australaves,Eufalconimorphae,Psittacopasseres,x,x,x
Contopus_lugubris_L16041,PASSERIFORMES_Tyrannidae_Contopus_lugubris,PASSERIFORMES,Tyrannidae,Contopus,Neoaves,Telluraves,Australaves,Eufalconimorphae,Psittacopasseres,x,x,x
Contopus_nigrescens_LSUMZ5427,PASSERIFORMES_Tyrannidae_Contopus_nigrescens,PASSERIFORMES,Tyrannidae,Contopus,Neoaves,Telluraves,Australaves,Eufalconimorphae,Psittacopasseres,x,x,x
Contopus_ochraceus_L19784,PASSERIFORMES_Tyrannidae_Contopus_ochraceus,PASSERIFORMES,Tyrannidae,Contopus,Neoaves,Telluraves,Australaves,Eufalconimorphae,Psittacopasseres,x,x,x
Contopus_pallidus_MVZ149935,PASSERIFORMES_Tyrannidae_Contopus_pallidus,PASSERIFORMES,Tyrannidae,Contopus,Neoaves,Telluraves,Australaves,Eufalconimorphae,Psittacopasseres,x,x,x
Contopus_pertinax_L38710,PASSERIFORMES_Tyrannidae_Contopus_pertinax,PASSERIFORMES,Tyrannidae,Contopus,Neoaves,Telluraves,Australaves,Eufalconimorphae,Psittacopasseres,x,x,x
Contopus_sordidulus_K4994,PASSERIFORMES_Tyrannidae_Contopus_sordidulus,PASSERIFORMES,Tyrannidae,Contopus,Neoaves,Telluraves,Australaves,Eufalconimorphae,Psittacopasseres,x,x,x
Contopus_virens_L37174,PASSERIFORMES_Tyrannidae_Contopus_virens,PASSERIFORMES,Tyrannidae,Contopus,Neoaves,Telluraves,Australaves,Eufalconimorphae,Psittacopasseres,x,x,x
Conuropsis_carolinensis_AMNH753725,PSITTACIFORMES_Psittacidae_Conuropsis_carolinensis,PSITTACIFORMES,Psittacidae,Conuropsis,Neoaves,Telluraves,Australaves,Eufalconimorphae,Psittacopasseres,x,x,x
Coracias_abyssinicus_KUNHM15413,CORACIIFORMES_Coraciidae_Coracias_abyssinicus,CORACIIFORMES,Coraciidae,Coracias,Neoaves,Telluraves,Afroaves,Coraciimorphae,Cavitaves,Eucavitaves,Picocoraciades,Picodynastornithes
Coracias_benghalensis_AMNHdot7954,CORACIIFORMES_Coraciidae_Coracias_benghalensis,CORACIIFORMES,Coraciidae,Coracias,Neoaves,Telluraves,Afroaves,Coraciimorphae,Cavitaves,Eucavitaves,Picocoraciades,Picodynastornithes
coracias_caudata2,CORACIIFORMES_Coraciidae_Coracias_caudatus,CORACIIFORMES,Coraciidae,Coracias,Neoaves,Telluraves,Afroaves,Coraciimorphae,Cavitaves,Eucavitaves,Picocoraciades,Picodynastornithes
Coracias_cyanogaster_AMNHdot16542,CORACIIFORMES_Coraciidae_Coracias_cyanogaster,CORACIIFORMES,Coraciidae,Coracias,Neoaves,Telluraves,Afroaves,Coraciimorphae,Cavitaves,Eucavitaves,Picocoraciades,Picodynastornithes
Coracias_garrulus_MSB30064,CORACIIFORMES_Coraciidae_Coracias_garrulus,CORACIIFORMES,Coraciidae,Coracias,Neoaves,Telluraves,Afroaves,Coraciimorphae,Cavitaves,Eucavitaves,Picocoraciades,Picodynastornithes
Coracias_naevius_UWBM95050,CORACIIFORMES_Coraciidae_Coracias_naevius,CORACIIFORMES,Coraciidae,Coracias,Neoaves,Telluraves,Afroaves,Coraciimorphae,Cavitaves,Eucavitaves,Picocoraciades,Picodynastornithes
Coracias_spatulata_FMNH455389,CORACIIFORMES_Coraciidae_Coracias_spatulatus,CORACIIFORMES,Coraciidae,Coracias,Neoaves,Telluraves,Afroaves,Coraciimorphae,Cavitaves,Eucavitaves,Picocoraciades,Picodynastornithes
Coracias_temminckii_FMNH87664,CORACIIFORMES_Coraciidae_Coracias_temminckii,CORACIIFORMES,Coraciidae,Coracias,Neoaves,Telluraves,Afroaves,Coraciimorphae,Cavitaves,Eucavitaves,Picocoraciades,Picodynastornithes
Coracopsis_barklyi_AMNH620265,PSITTACIFORMES_Psittaculidae_Coracopsis_barklyi,PSITTACIFORMES,Psittaculidae,Coracopsis,Neoaves,Telluraves,Australaves,Eufalconimorphae,Psittacopasseres,x,x,x
Coracopsis_niger_DOT13088,PSITTACIFORMES_Psittaculidae_Coracopsis_nigra,PSITTACIFORMES,Psittaculidae,Coracopsis,Neoaves,Telluraves,Australaves,Eufalconimorphae,Psittacopasseres,x,x,x
Coracopsis_vasa_UWBM85986,PSITTACIFORMES_Psittaculidae_Coracopsis_vasa,PSITTACIFORMES,Psittaculidae,Coracopsis,Neoaves,Telluraves,Australaves,Eufalconimorphae,Psittacopasseres,x,x,x
Corapipo_altera_LSU28374,PASSERIFORMES_Pipridae_Corapipo_altera,PASSERIFORMES,Pipridae,Corapipo,Neoaves,Telluraves,Australaves,Eufalconimorphae,Psittacopasseres,x,x,x
Corapipo_gutturalis_L48430,PASSERIFORMES_Pipridae_Corapipo_gutturalis,PASSERIFORMES,Pipridae,Corapipo,Neoaves,Telluraves,Australaves,Eufalconimorphae,Psittacopasseres,x,x,x
Corapipo_leucorrhoa_ICN33757,PASSERIFORMES_Pipridae_Corapipo_leucorrhoa,PASSERIFORMES,Pipridae,Corapipo,Neoaves,Telluraves,Australaves,Eufalconimorphae,Psittacopasseres,x,x,x
cormobates_leucophaea_57452,PASSERIFORMES_Climacteridae_Cormobates_leucophaea,PASSERIFORMES,Climacteridae,Cormobates,Neoaves,Telluraves,Australaves,Eufalconimorphae,Psittacopasseres,x,x,x
Corvus_brachyrhynchos_APP016,PASSERIFORMES_Corvidae_Corvus_brachyrhynchos,PASSERIFORMES,Corvidae,Corvus,Neoaves,Telluraves,Australaves,Eufalconimorphae,Psittacopasseres,x,x,x
corvus_corax_30042,PASSERIFORMES_Corvidae_Corvus_corax,PASSERIFORMES,Corvidae,Corvus,Neoaves,Telluraves,Australaves,Eufalconimorphae,Psittacopasseres,x,x,x
Corvus_cornix_GCF_000738735,PASSERIFORMES_Corvidae_Corvus_cornix,PASSERIFORMES,Corvidae,Corvus,Neoaves,Telluraves,Australaves,Eufalconimorphae,Psittacopasseres,x,x,x
Corvus_hawaiiensis_GCA_003402825,PASSERIFORMES_Corvidae_Corvus_hawaiiensis,PASSERIFORMES,Corvidae,Corvus,Neoaves,Telluraves,Australaves,Eufalconimorphae,Psittacopasseres,x,x,x
Corvus_macrorhynchos_GCA_014363025,PASSERIFORMES_Corvidae_Corvus_macrorhynchos,PASSERIFORMES,Corvidae,Corvus,Neoaves,Telluraves,Australaves,Eufalconimorphae,Psittacopasseres,x,x,x
Corydon_sumatranus_L77291,PASSERIFORMES_Eurylaimidae_Corydon_sumatranus,PASSERIFORMES,Eurylaimidae,Corydon,Neoaves,Telluraves,Australaves,Eufalconimorphae,Psittacopasseres,x,x,x
Coryphistera_alaudina_L18894,PASSERIFORMES_Furnariidae_Coryphistera_alaudina,PASSERIFORMES,Furnariidae,Coryphistera,Neoaves,Telluraves,Australaves,Eufalconimorphae,Psittacopasseres,x,x,x
Corythaeola_cristata_GCA_013396815,MUSOPHAGIFORMES_Musophagidae_Corythaeola_cristata,MUSOPHAGIFORMES,Musophagidae,Corythaeola,Neoaves,Otidimorphae,Musophagotides,x,x,x,x,x
Corythopis_delalandi_K249,PASSERIFORMES_Tyrannidae_Corythopis_delalandi,PASSERIFORMES,Tyrannidae,Corythopis,Neoaves,Telluraves,Australaves,Eufalconimorphae,Psittacopasseres,x,x,x
Corythopis_torquatus_L10792,PASSERIFORMES_Tyrannidae_Corythopis_torquatus,PASSERIFORMES,Tyrannidae,Corythopis,Neoaves,Telluraves,Australaves,Eufalconimorphae,Psittacopasseres,x,x,x
Corythornis_cristatus_KUNHM15442,CORACIIFORMES_Alcedinidae_Corythornis_cristatus,CORACIIFORMES,Alcedinidae,Corythornis,Neoaves,Telluraves,Afroaves,Coraciimorphae,Cavitaves,Eucavitaves,Picocoraciades,Picodynastornithes
Corythornis_madagascariensis_FMNH431180,CORACIIFORMES_Alcedinidae_Corythornis_madagascariensis,CORACIIFORMES,Alcedinidae,Corythornis,Neoaves,Telluraves,Afroaves,Coraciimorphae,Cavitaves,Eucavitaves,Picocoraciades,Picodynastornithes
Corythornis_vintsioides_FMNH431170,CORACIIFORMES_Alcedinidae_Corythornis_vintsioides,CORACIIFORMES,Alcedinidae,Corythornis,Neoaves,Telluraves,Afroaves,Coraciimorphae,Cavitaves,Eucavitaves,Picocoraciades,Picodynastornithes
Cotinga_amabilis_KU104762,PASSERIFORMES_Cotingidae_Cotinga_amabilis,PASSERIFORMES,Cotingidae,Cotinga,Neoaves,Telluraves,Australaves,Eufalconimorphae,Psittacopasseres,x,x,x
Cotinga_cayana_L9602,PASSERIFORMES_Cotingidae_Cotinga_cayana,PASSERIFORMES,Cotingidae,Cotinga,Neoaves,Telluraves,Australaves,Eufalconimorphae,Psittacopasseres,x,x,x
Cotinga_cotinga_GDPN147,PASSERIFORMES_Cotingidae_Cotinga_cotinga,PASSERIFORMES,Cotingidae,Cotinga,Neoaves,Telluraves,Australaves,Eufalconimorphae,Psittacopasseres,x,x,x
Cotinga_maculata_LACM60338,PASSERIFORMES_Cotingidae_Cotinga_maculata,PASSERIFORMES,Cotingidae,Cotinga,Neoaves,Telluraves,Australaves,Eufalconimorphae,Psittacopasseres,x,x,x
Cotinga_maynana_L4762,PASSERIFORMES_Cotingidae_Cotinga_maynana,PASSERIFORMES,Cotingidae,Cotinga,Neoaves,Telluraves,Australaves,Eufalconimorphae,Psittacopasseres,x,x,x
cotinga_nattererii_b28578,PASSERIFORMES_Cotingidae_Cotinga_nattererii,PASSERIFORMES,Cotingidae,Cotinga,Neoaves,Telluraves,Australaves,Eufalconimorphae,Psittacopasseres,x,x,x
Cotinga_ridgwayi_LSUMZ161196,PASSERIFORMES_Cotingidae_Cotinga_ridgwayi,PASSERIFORMES,Cotingidae,Cotinga,Neoaves,Telluraves,Australaves,Eufalconimorphae,Psittacopasseres,x,x,x
Coturnix_adansonii_FMNH423163,GALLIFORMES_Phasianidae_Synoicus_adansonii,GALLIFORMES,Phasianidae,Synoicus,Galloanserae,x,x,x,x,x,x,x
Coturnix_chinensis_RTK413,GALLIFORMES_Phasianidae_Synoicus_chinensis,GALLIFORMES,Phasianidae,Synoicus,Galloanserae,x,x,x,x,x,x,x
Coturnix_coromandelica_FMNH423162,GALLIFORMES_Phasianidae_Coturnix_coromandelica,GALLIFORMES,Phasianidae,Coturnix,Galloanserae,x,x,x,x,x,x,x
coturnix_coturnix,GALLIFORMES_Phasianidae_Coturnix_coturnix,GALLIFORMES,Phasianidae,Coturnix,Galloanserae,x,x,x,x,x,x,x
Coturnix_delegorguei_ZMUC136472,GALLIFORMES_Phasianidae_Coturnix_delegorguei,GALLIFORMES,Phasianidae,Coturnix,Galloanserae,x,x,x,x,x,x,x
Coturnix_japonica_YPM140056,GALLIFORMES_Phasianidae_Coturnix_japonica,GALLIFORMES,Phasianidae,Coturnix,Galloanserae,x,x,x,x,x,x,x
Coturnix_pectoralis_UWBM57615,GALLIFORMES_Phasianidae_Coturnix_pectoralis,GALLIFORMES,Phasianidae,Coturnix,Galloanserae,x,x,x,x,x,x,x
Coturnix_ypsilophora_ANSP22960,GALLIFORMES_Phasianidae_Synoicus_ypsilophorus,GALLIFORMES,Phasianidae,Synoicus,Galloanserae,x,x,x,x,x,x,x
coua_cristata,CUCULIFORMES_Cuculidae_Coua_cristata,CUCULIFORMES,Cuculidae,Coua,Neoaves,Otidimorphae,x,x,x,x,x,x
Cranioleuca_albicapilla_L49667,PASSERIFORMES_Furnariidae_Cranioleuca_albicapilla,PASSERIFORMES,Furnariidae,Cranioleuca,Neoaves,Telluraves,Australaves,Eufalconimorphae,Psittacopasseres,x,x,x
Cranioleuca_albiceps_L1231,PASSERIFORMES_Furnariidae_Cranioleuca_albiceps,PASSERIFORMES,Furnariidae,Cranioleuca,Neoaves,Telluraves,Australaves,Eufalconimorphae,Psittacopasseres,x,x,x
Cranioleuca_antisiensis_L441,PASSERIFORMES_Furnariidae_Cranioleuca_antisiensis,PASSERIFORMES,Furnariidae,Cranioleuca,Neoaves,Telluraves,Australaves,Eufalconimorphae,Psittacopasseres,x,x,x
Cranioleuca_curtata_L22647,PASSERIFORMES_Furnariidae_Cranioleuca_curtata,PASSERIFORMES,Furnariidae,Cranioleuca,Neoaves,Telluraves,Australaves,Eufalconimorphae,Psittacopasseres,x,x,x
Cranioleuca_demissa_APRS440,PASSERIFORMES_Furnariidae_Cranioleuca_demissa,PASSERIFORMES,Furnariidae,Cranioleuca,Neoaves,Telluraves,Australaves,Eufalconimorphae,Psittacopasseres,x,x,x
Cranioleuca_dissita_L46740,PASSERIFORMES_Furnariidae_Cranioleuca_dissita,PASSERIFORMES,Furnariidae,Cranioleuca,Neoaves,Telluraves,Australaves,Eufalconimorphae,Psittacopasseres,x,x,x
Cranioleuca_erythrops_H2081,PASSERIFORMES_Furnariidae_Cranioleuca_erythrops,PASSERIFORMES,Furnariidae,Cranioleuca,Neoaves,Telluraves,Australaves,Eufalconimorphae,Psittacopasseres,x,x,x
Cranioleuca_gutturata_L4716,PASSERIFORMES_Furnariidae_Cranioleuca_gutturata,PASSERIFORMES,Furnariidae,Cranioleuca,Neoaves,Telluraves,Australaves,Eufalconimorphae,Psittacopasseres,x,x,x
Cranioleuca_hellmayri_IAvHBT484,PASSERIFORMES_Furnariidae_Cranioleuca_hellmayri,PASSERIFORMES,Furnariidae,Cranioleuca,Neoaves,Telluraves,Australaves,Eufalconimorphae,Psittacopasseres,x,x,x
Cranioleuca_henricae_ZMC125818,PASSERIFORMES_Furnariidae_Cranioleuca_henricae,PASSERIFORMES,Furnariidae,Cranioleuca,Neoaves,Telluraves,Australaves,Eufalconimorphae,Psittacopasseres,x,x,x
Cranioleuca_marcapatae_NM34431,PASSERIFORMES_Furnariidae_Cranioleuca_marcapatae,PASSERIFORMES,Furnariidae,Cranioleuca,Neoaves,Telluraves,Australaves,Eufalconimorphae,Psittacopasseres,x,x,x
Cranioleuca_muelleri_L25422,PASSERIFORMES_Furnariidae_Cranioleuca_muelleri,PASSERIFORMES,Furnariidae,Cranioleuca,Neoaves,Telluraves,Australaves,Eufalconimorphae,Psittacopasseres,x,x,x
Cranioleuca_obsoleta_K3846,PASSERIFORMES_Furnariidae_Cranioleuca_obsoleta,PASSERIFORMES,Furnariidae,Cranioleuca,Neoaves,Telluraves,Australaves,Eufalconimorphae,Psittacopasseres,x,x,x
Cranioleuca_pallida_F395422,PASSERIFORMES_Furnariidae_Cranioleuca_pallida,PASSERIFORMES,Furnariidae,Cranioleuca,Neoaves,Telluraves,Australaves,Eufalconimorphae,Psittacopasseres,x,x,x
Cranioleuca_pyrrhophia_L18683,PASSERIFORMES_Furnariidae_Cranioleuca_pyrrhophia,PASSERIFORMES,Furnariidae,Cranioleuca,Neoaves,Telluraves,Australaves,Eufalconimorphae,Psittacopasseres,x,x,x
Cranioleuca_semicinerea_F399207,PASSERIFORMES_Furnariidae_Cranioleuca_semicinerea,PASSERIFORMES,Furnariidae,Cranioleuca,Neoaves,Telluraves,Australaves,Eufalconimorphae,Psittacopasseres,x,x,x
Cranioleuca_subcristata_Ph301,PASSERIFORMES_Furnariidae_Cranioleuca_subcristata,PASSERIFORMES,Furnariidae,Cranioleuca,Neoaves,Telluraves,Australaves,Eufalconimorphae,Psittacopasseres,x,x,x
Cranioleuca_sulphurifera_L52009,PASSERIFORMES_Furnariidae_Limnoctites_sulphuriferus,PASSERIFORMES,Furnariidae,Limnoctites,Neoaves,Telluraves,Australaves,Eufalconimorphae,Psittacopasseres,x,x,x
Cranioleuca_vulpecula_L3181,PASSERIFORMES_Furnariidae_Cranioleuca_vulpecula,PASSERIFORMES,Furnariidae,Cranioleuca,Neoaves,Telluraves,Australaves,Eufalconimorphae,Psittacopasseres,x,x,x
Cranioleuca_vulpina_L25425,PASSERIFORMES_Furnariidae_Cranioleuca_vulpina,PASSERIFORMES,Furnariidae,Cranioleuca,Neoaves,Telluraves,Australaves,Eufalconimorphae,Psittacopasseres,x,x,x
Crateroscelis_murina_KUNHM12275,PASSERIFORMES_Acanthizidae_Origma_murina,PASSERIFORMES,Acanthizidae,Origma,Neoaves,Telluraves,Australaves,Eufalconimorphae,Psittacopasseres,x,x,x
crax_alector,GALLIFORMES_Cracidae_Crax_alector,GALLIFORMES,Cracidae,Crax,Galloanserae,x,x,x,x,x,x,x
Crax_daubentoni_FLMNH45536,GALLIFORMES_Cracidae_Crax_daubentoni,GALLIFORMES,Cracidae,Crax,Galloanserae,x,x,x,x,x,x,x
Crax_globulosa_FLMNH45537,GALLIFORMES_Cracidae_Crax_globulosa,GALLIFORMES,Cracidae,Crax,Galloanserae,x,x,x,x,x,x,x
Crax_rubra_LSUMZB14200,GALLIFORMES_Cracidae_Crax_rubra,GALLIFORMES,Cracidae,Crax,Galloanserae,x,x,x,x,x,x,x
crinifer_piscator,MUSOPHAGIFORMES_Musophagidae_Crinifer_piscator,MUSOPHAGIFORMES,Musophagidae,Crinifer,Neoaves,Otidimorphae,Musophagotides,x,x,x,x,x
Crossoptilon_auritum_RTK418,GALLIFORMES_Phasianidae_Crossoptilon_auritum,GALLIFORMES,Phasianidae,Crossoptilon,Galloanserae,x,x,x,x,x,x,x
Crossoptilon_crossoptilon_RTK419,GALLIFORMES_Phasianidae_Crossoptilon_crossoptilon,GALLIFORMES,Phasianidae,Crossoptilon,Galloanserae,x,x,x,x,x,x,x
crotophaga_sulcirostris,CUCULIFORMES_Cuculidae_Crotophaga_sulcirostris,CUCULIFORMES,Cuculidae,Crotophaga,Neoaves,Otidimorphae,x,x,x,x,x,x
Cryptopipo_holochlora_L5505,PASSERIFORMES_Pipridae_Cryptopipo_holochlora,PASSERIFORMES,Pipridae,Cryptopipo,Neoaves,Telluraves,Australaves,Eufalconimorphae,Psittacopasseres,x,x,x
Crypturellus_cinnamomeus_OUT0029,TINAMIFORMES_Tinamidae_Crypturellus_cinnamomeus,TINAMIFORMES,Tinamidae,Crypturellus,Palaeognathae,Notopalaeognathae,Dinocrypturi,x,x,x,x,x
crypturellus_soui,TINAMIFORMES_Tinamidae_Crypturellus_soui,TINAMIFORMES,Tinamidae,Crypturellus,Palaeognathae,Notopalaeognathae,Dinocrypturi,x,x,x,x,x
Crypturellus_undulatus_B10KCrypturellusundulatus,TINAMIFORMES_Tinamidae_Crypturellus_undulatus,TINAMIFORMES,Tinamidae,Crypturellus,Palaeognathae,Notopalaeognathae,Dinocrypturi,x,x,x,x,x
Cuculus_canorus_APP017,CUCULIFORMES_Cuculidae_Cuculus_canorus,CUCULIFORMES,Cuculidae,Cuculus,Neoaves,Otidimorphae,x,x,x,x,x,x
culicicapa_ceylonensis_9948,PASSERIFORMES_Stenostiridae_Culicicapa_ceylonensis,PASSERIFORMES,Stenostiridae,Culicicapa,Neoaves,Telluraves,Australaves,Eufalconimorphae,Psittacopasseres,x,x,x
Culicivora_caudacuta_L15410,PASSERIFORMES_Tyrannidae_Culicivora_caudacuta,PASSERIFORMES,Tyrannidae,Culicivora,Neoaves,Telluraves,Australaves,Eufalconimorphae,Psittacopasseres,x,x,x
curruca_nana_28718,PASSERIFORMES_Sylviidae_Curruca_nana,PASSERIFORMES,Sylviidae,Curruca,Neoaves,Telluraves,Australaves,Eufalconimorphae,Psittacopasseres,x,x,x
Cyanistes_caeruleus_GCF_002901205,PASSERIFORMES_Paridae_Cyanistes_caeruleus,PASSERIFORMES,Paridae,Cyanistes,Neoaves,Telluraves,Australaves,Eufalconimorphae,Psittacopasseres,x,x,x
Cyanoliseus_patagonus_KU11812,PSITTACIFORMES_Psittacidae_Cyanoliseus_patagonus,PSITTACIFORMES,Psittacidae,Cyanoliseus,Neoaves,Telluraves,Australaves,Eufalconimorphae,Psittacopasseres,x,x,x
Cyanopsitta_spixii_FMNH337717,PSITTACIFORMES_Psittacidae_Cyanopsitta_spixii,PSITTACIFORMES,Psittacidae,Cyanopsitta,Neoaves,Telluraves,Australaves,Eufalconimorphae,Psittacopasseres,x,x,x
Cyanoramphus_auriceps_UWB89567,PSITTACIFORMES_Psittaculidae_Cyanoramphus_auriceps,PSITTACIFORMES,Psittaculidae,Cyanoramphus,Neoaves,Telluraves,Australaves,Eufalconimorphae,Psittacopasseres,x,x,x
Cyanoramphus_cookii_AMNH212234,PSITTACIFORMES_Psittaculidae_Cyanoramphus_cookii,PSITTACIFORMES,Psittaculidae,Cyanoramphus,Neoaves,Telluraves,Australaves,Eufalconimorphae,Psittacopasseres,x,x,x
Cyanoramphus_forbesi_AMNH623717,PSITTACIFORMES_Psittaculidae_Cyanoramphus_forbesi,PSITTACIFORMES,Psittaculidae,Cyanoramphus,Neoaves,Telluraves,Australaves,Eufalconimorphae,Psittacopasseres,x,x,x
Cyanoramphus_hochstetteri_AMNH623678,PSITTACIFORMES_Psittaculidae_Cyanoramphus_hochstetteri,PSITTACIFORMES,Psittaculidae,Cyanoramphus,Neoaves,Telluraves,Australaves,Eufalconimorphae,Psittacopasseres,x,x,x
Cyanoramphus_malherbi_ZMUC147139,PSITTACIFORMES_Psittaculidae_Cyanoramphus_malherbi,PSITTACIFORMES,Psittaculidae,Cyanoramphus,Neoaves,Telluraves,Australaves,Eufalconimorphae,Psittacopasseres,x,x,x
Cyanoramphus_novaezelandiae_KU14868,PSITTACIFORMES_Psittaculidae_Cyanoramphus_novaezelandiae,PSITTACIFORMES,Psittaculidae,Cyanoramphus,Neoaves,Telluraves,Australaves,Eufalconimorphae,Psittacopasseres,x,x,x
Cyanoramphus_saisseti_AMNH337752,PSITTACIFORMES_Psittaculidae_Cyanoramphus_saisseti,PSITTACIFORMES,Psittaculidae,Cyanoramphus,Neoaves,Telluraves,Australaves,Eufalconimorphae,Psittacopasseres,x,x,x
Cyanoramphus_unicolor_AMNH212241,PSITTACIFORMES_Psittaculidae_Cyanoramphus_unicolor,PSITTACIFORMES,Psittaculidae,Cyanoramphus,Neoaves,Telluraves,Australaves,Eufalconimorphae,Psittacopasseres,x,x,x
Cyclopsitta_diophthalma_ANWCB34867,PSITTACIFORMES_Psittaculidae_Cyclopsitta_diophthalma,PSITTACIFORMES,Psittaculidae,Cyclopsitta,Neoaves,Telluraves,Australaves,Eufalconimorphae,Psittacopasseres,x,x,x
Cyclopsitta_gulielmitertii_ANWCB56211,PSITTACIFORMES_Psittaculidae_Cyclopsitta_gulielmitertii,PSITTACIFORMES,Psittaculidae,Cyclopsitta,Neoaves,Telluraves,Australaves,Eufalconimorphae,Psittacopasseres,x,x,x
Cygnus_atratus_GCF_013377495,ANSERIFORMES_Anatidae_Cygnus_atratus,ANSERIFORMES,Anatidae,Cygnus,Galloanserae,x,x,x,x,x,x,x
Cygnus_cygnus_GCA_014362685,ANSERIFORMES_Anatidae_Cygnus_cygnus,ANSERIFORMES,Anatidae,Cygnus,Galloanserae,x,x,x,x,x,x,x
Cygnus_olor_GCA_009769625,ANSERIFORMES_Anatidae_Cygnus_olor,ANSERIFORMES,Anatidae,Cygnus,Galloanserae,x,x,x,x,x,x,x
Cymbilaimus_lineatus_GBR163161,PASSERIFORMES_Thamnophilidae_Cymbilaimus_lineatus,PASSERIFORMES,Thamnophilidae,Cymbilaimus,Neoaves,Telluraves,Australaves,Eufalconimorphae,Psittacopasseres,x,x,x
Cymbilaimus_sanctaemariae_F389851,PASSERIFORMES_Thamnophilidae_Cymbilaimus_sanctaemariae,PASSERIFORMES,Thamnophilidae,Cymbilaimus,Neoaves,Telluraves,Australaves,Eufalconimorphae,Psittacopasseres,x,x,x
Cymbirhynchus_macrorhynchos_L61536,PASSERIFORMES_Eurylaimidae_Cymbirhynchus_macrorhynchos,PASSERIFORMES,Eurylaimidae,Cymbirhynchus,Neoaves,Telluraves,Australaves,Eufalconimorphae,Psittacopasseres,x,x,x
Cyrtonyx_montezumae_RTK420,GALLIFORMES_Odontophoridae_Cyrtonyx_montezumae,GALLIFORMES,Odontophoridae,Cyrtonyx,Galloanserae,x,x,x,x,x,x,x
Dacelo_gaudichaud_KUNHM9180,CORACIIFORMES_Alcedinidae_Dacelo_gaudichaud,CORACIIFORMES,Alcedinidae,Dacelo,Neoaves,Telluraves,Afroaves,Coraciimorphae,Cavitaves,Eucavitaves,Picocoraciades,Picodynastornithes
Dacelo_leachii_ANWCB33378,CORACIIFORMES_Alcedinidae_Dacelo_leachii,CORACIIFORMES,Alcedinidae,Dacelo,Neoaves,Telluraves,Afroaves,Coraciimorphae,Cavitaves,Eucavitaves,Picocoraciades,Picodynastornithes
